time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799992
1,0.799886,0.79988,0.804516
2,0.799849,0.799818,0.808765
3,0.799812,0.799776,0.812778
4,0.799769,0.799736,0.81655
5,0.799745,0.799689,0.820087
6,0.799717,0.799662,0.823432
7,0.799697,0.799631,0.826572
8,0.799605,0.79961,0.829534
9,0.799561,0.799509,0.832229
10,0.799523,0.79946,0.834808
11,0.799493,0.799418,0.837235
12,0.79945,0.799385,0.839524
13,0.799358,0.799338,0.841658
14,0.799287,0.799236,0.843599
15,0.799239,0.799159,0.845435
16,0.799165,0.799106,0.84718
17,0.799109,0.799025,0.848782
18,0.799083,0.798963,0.850299
19,0.798997,0.798934,0.851756
20,0.798946,0.798839,0.853049
21,0.798863,0.798783,0.854296
22,0.798803,0.798692,0.855422
23,0.798751,0.798626,0.856497
24,0.798685,0.79857,0.85751
25,0.798637,0.798496,0.858437
26,0.798549,0.798444,0.859324
27,0.798504,0.798347,0.860103
28,0.798416,0.798297,0.860874
29,0.798368,0.798201,0.861542
30,0.798289,0.798148,0.862206
31,0.798242,0.798061,0.862787
32,0.798178,0.798009,0.863362
33,0.798121,0.797939,0.863877
34,0.798093,0.797876,0.864362
35,0.798021,0.797846,0.864848
36,0.797964,0.797766,0.865249
37,0.797914,0.797704,0.865635
38,0.797869,0.797648,0.866001
39,0.797779,0.797599,0.866346
40,0.797743,0.7975,0.866611
41,0.797699,0.797461,0.866914
42,0.797631,0.797412,0.867188
43,0.797594,0.797337,0.86741
44,0.79755,0.797296,0.867651
45,0.797485,0.797248,0.867866
46,0.79743,0.797176,0.868038
47,0.797351,0.797116,0.868205
48,0.797284,0.797029,0.868327
49,0.797206,0.796955,0.868447
50,0.797184,0.79687,0.868537
51,0.797118,0.796845,0.868681
52,0.797062,0.796772,0.868764
53,0.797003,0.796711,0.868847
54,0.79693,0.796646,0.868916
55,0.796846,0.796566,0.868957
56,0.796762,0.796474,0.868974
57,0.796741,0.796381,0.868979
58,0.796682,0.796358,0.86905
59,0.796654,0.796293,0.869073
60,0.796575,0.796262,0.869128
61,0.796485,0.796176,0.869117
62,0.796442,0.796077,0.869083
63,0.796355,0.796029,0.869098
64,0.796268,0.795933,0.869055
65,0.796228,0.795838,0.869004
66,0.796177,0.795793,0.869003
67,0.796112,0.795738,0.868988
68,0.796035,0.795667,0.868954
69,0.795988,0.795581,0.868899
70,0.795923,0.79553,0.868878
71,0.795876,0.795459,0.868833
72,0.795788,0.795406,0.868807
73,0.795731,0.79531,0.86873
74,0.795654,0.795247,0.868685
75,0.795615,0.795162,0.868614
76,0.795582,0.79512,0.868586
77,0.795523,0.795083,0.868567
78,0.795447,0.795018,0.868518
79,0.795379,0.794935,0.868447
80,0.795331,0.79486,0.868382
81,0.795277,0.794807,0.86834
82,0.795233,0.794747,0.868289
83,0.795191,0.794699,0.868253
84,0.79514,0.794653,0.868219
85,0.795121,0.794597,0.868175
86,0.795062,0.794576,0.868172
