Bias_percent,CC_RMSE,FGO_RMSE,CC_MAE,FGO_MAE
0.5,0.0019102036045752873,0.00015492271459034636,0.0016535881176568614,0.0001501747354387132
1.0,0.003820732546643892,0.00030980124813965385,0.0033075524539621696,0.0003003115573702188
2.0,0.0076417836991650445,0.0006194683064274641,0.006615475210399134,0.0006005283726356135
5.0,0.01910494897966773,0.001547709503408533,0.016539254062161488,0.0015006827764352966
10.0,0.03821023110147956,0.003092374614747838,0.03307888755937005,0.002999392383968002
