time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.79999
1,0.799886,0.799885,0.804394
2,0.799849,0.799828,0.808531
3,0.799812,0.79979,0.812434
4,0.799769,0.799753,0.8161
5,0.799745,0.79971,0.819537
6,0.799717,0.799685,0.822781
7,0.799697,0.799657,0.825822
8,0.799605,0.799637,0.828685
9,0.799561,0.799544,0.831298
10,0.799523,0.7995,0.833794
11,0.799493,0.799461,0.836139
12,0.79945,0.799431,0.838345
13,0.799358,0.799387,0.8404
14,0.799287,0.799294,0.842275
15,0.799239,0.799223,0.844049
16,0.799165,0.799174,0.845731
17,0.799109,0.7991,0.847279
18,0.799083,0.799043,0.848743
19,0.798997,0.799017,0.850142
20,0.798946,0.79893,0.85139
21,0.798863,0.798878,0.852589
22,0.798803,0.798795,0.853677
23,0.798751,0.798734,0.854714
24,0.798685,0.798682,0.855689
25,0.798637,0.798614,0.856583
26,0.798549,0.798567,0.857435
27,0.798504,0.798478,0.858189
28,0.798416,0.798432,0.858931
29,0.798368,0.798343,0.859579
30,0.798289,0.798295,0.86022
31,0.798242,0.798215,0.860785
32,0.798178,0.798167,0.861341
33,0.798121,0.798103,0.86184
34,0.798093,0.798045,0.86231
35,0.798021,0.798017,0.862774
36,0.797964,0.797944,0.863161
37,0.797914,0.797887,0.863533
38,0.797869,0.797836,0.863883
39,0.797779,0.797791,0.864211
40,0.797743,0.7977,0.864468
41,0.797699,0.797664,0.864756
42,0.797631,0.797619,0.865013
43,0.797594,0.79755,0.865225
44,0.79755,0.797513,0.865449
45,0.797485,0.797469,0.865647
46,0.79743,0.797402,0.865805
47,0.797351,0.797347,0.865957
48,0.797284,0.797267,0.866069
49,0.797206,0.7972,0.866179
50,0.797184,0.797121,0.866265
51,0.797118,0.797099,0.866394
52,0.797062,0.797032,0.866468
53,0.797003,0.796976,0.86654
54,0.79693,0.796916,0.866599
55,0.796846,0.796842,0.866634
56,0.796762,0.796758,0.86665
57,0.796741,0.796673,0.866657
58,0.796682,0.796651,0.86672
59,0.796654,0.796592,0.866738
60,0.796575,0.796563,0.86678
61,0.796485,0.796484,0.866765
62,0.796442,0.796393,0.866732
63,0.796355,0.79635,0.866742
64,0.796268,0.796261,0.866702
65,0.796228,0.796174,0.866658
66,0.796177,0.796133,0.866658
67,0.796112,0.796082,0.866644
68,0.796035,0.796017,0.866612
69,0.795988,0.795938,0.866564
70,0.795923,0.795891,0.866545
71,0.795876,0.795825,0.866505
72,0.795788,0.795778,0.866481
73,0.795731,0.795689,0.866414
74,0.795654,0.795631,0.866376
75,0.795615,0.795553,0.866317
76,0.795582,0.795514,0.866295
77,0.795523,0.795481,0.866278
78,0.795447,0.795421,0.866234
79,0.795379,0.795345,0.866172
80,0.795331,0.795276,0.866117
81,0.795277,0.795227,0.866081
82,0.795233,0.795172,0.866038
83,0.795191,0.795128,0.866006
84,0.79514,0.795086,0.865975
85,0.795121,0.795034,0.865934
86,0.795062,0.795015,0.865925
87,0.795033,0.794955,0.865874
88,0.794945,0.794926,0.865852
89,0.794885,0.794838,0.865771
90,0.79485,0.794776,0.865715
91,0.794805,0.794741,0.865685
92,0.794717,0.794696,0.865643
93,0.794641,0.794607,0.865558
94,0.79456,0.79453,0.865484
95,0.794482,0.794448,0.865404
96,0.794407,0.79437,0.865329
97,0.794362,0.794294,0.865256
98,0.7943,0.794248,0.865216
99,0.794246,0.794186,0.865159
100,0.794222,0.794131,0.865111
101,0.794203,0.794108,0.865094
102,0.794164,0.794088,0.865082
103,0.794141,0.794049,0.865051
104,0.794105,0.794025,0.865035
105,0.794048,0.793989,0.865005
106,0.794018,0.793931,0.864953
107,0.793985,0.793902,0.864928
108,0.793901,0.793868,0.864898
109,0.793813,0.793783,0.864816
110,0.793722,0.793694,0.864728
111,0.793693,0.793602,0.864637
112,0.79361,0.793573,0.864608
113,0.793554,0.793489,0.864525
114,0.793513,0.793432,0.86447
115,0.793455,0.793391,0.86443
116,0.793414,0.793333,0.864373
117,0.793335,0.793291,0.864332
118,0.793245,0.793211,0.864253
119,0.793162,0.79312,0.864164
120,0.793137,0.793037,0.864083
121,0.7931,0.793012,0.864061
122,0.793022,0.792974,0.864027
123,0.792989,0.792895,0.863953
124,0.792935,0.792862,0.863924
125,0.792863,0.792808,0.863876
126,0.792814,0.792735,0.863809
127,0.792779,0.792685,0.863766
128,0.792697,0.792649,0.863738
129,0.792664,0.792567,0.863664
130,0.792637,0.792533,0.863638
131,0.792606,0.792506,0.863619
132,0.792581,0.792475,0.863597
133,0.792496,0.792449,0.86358
134,0.792472,0.792364,0.863502
135,0.792444,0.79234,0.863485
136,0.792357,0.792311,0.863463
137,0.792284,0.792224,0.863381
138,0.792232,0.79215,0.863313
139,0.792211,0.792098,0.863266
140,0.79213,0.792076,0.863248
141,0.792096,0.791994,0.863171
142,0.792017,0.791959,0.86314
143,0.791949,0.79188,0.863064
144,0.791856,0.791811,0.862998
145,0.791785,0.791718,0.862908
146,0.791763,0.791646,0.86284
147,0.791682,0.791624,0.862822
148,0.791601,0.791542,0.862745
149,0.791537,0.79146,0.862669
150,0.791486,0.791395,0.862612
151,0.791457,0.791344,0.862569
152,0.791421,0.791315,0.862549
153,0.791363,0.791278,0.862522
154,0.791312,0.79122,0.862474
155,0.791255,0.791169,0.862434
156,0.791169,0.79111,0.862387
157,0.791143,0.791024,0.862313
158,0.791123,0.790997,0.862299
159,0.791098,0.790977,0.862293
160,0.791012,0.790952,0.862282
161,0.790936,0.790865,0.862209
162,0.790908,0.790788,0.862146
163,0.790883,0.79076,0.862133
164,0.79084,0.790735,0.862122
165,0.790784,0.790691,0.862093
166,0.790753,0.790635,0.862051
167,0.790701,0.790603,0.862033
168,0.790663,0.790551,0.861995
169,0.790598,0.790512,0.861969
170,0.790523,0.790447,0.861916
171,0.790498,0.790371,0.861853
172,0.790431,0.790346,0.861839
173,0.790355,0.790278,0.861783
174,0.790309,0.790201,0.861717
175,0.79029,0.790155,0.861682
176,0.79026,0.790136,0.861675
177,0.790227,0.790105,0.861655
178,0.790173,0.790072,0.861631
179,0.790087,0.790018,0.861586
180,0.790019,0.78993,0.861506
181,0.789981,0.789863,0.861446
182,0.789889,0.789824,0.861415
183,0.789832,0.789731,0.861329
184,0.789761,0.789673,0.861278
185,0.789719,0.789602,0.861214
186,0.789632,0.789559,0.86118
187,0.789606,0.789471,0.861099
188,0.789552,0.789445,0.861082
189,0.789509,0.789391,0.861038
190,0.789479,0.789347,0.861003
191,0.789429,0.789317,0.860984
192,0.789347,0.789266,0.860943
193,0.789324,0.789183,0.86087
194,0.789231,0.78916,0.860857
195,0.789197,0.789067,0.860774
196,0.789151,0.789031,0.86075
197,0.78906,0.788986,0.860716
198,0.789028,0.788893,0.860635
199,0.788999,0.788861,0.860615
200,0.788947,0.788832,0.860598
201,0.788915,0.788779,0.860558
202,0.788852,0.788747,0.860539
203,0.788815,0.788684,0.860488
204,0.788737,0.788646,0.860463
205,0.788665,0.788567,0.860397
206,0.788636,0.788495,0.860337
207,0.788615,0.788465,0.86032
208,0.788594,0.788445,0.860313
209,0.788525,0.788423,0.860304
