time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799943
1,0.799886,0.799887,0.799887
2,0.799849,0.799849,0.799849
3,0.799812,0.799812,0.799812
4,0.799769,0.79977,0.79977
5,0.799745,0.799745,0.799745
6,0.799717,0.799717,0.799717
7,0.799697,0.799698,0.799698
8,0.799605,0.799606,0.799605
9,0.799561,0.799562,0.799561
10,0.799523,0.799523,0.799523
11,0.799493,0.799493,0.799493
12,0.79945,0.79945,0.79945
13,0.799358,0.799358,0.799358
14,0.799287,0.799288,0.799287
15,0.799239,0.799239,0.799239
16,0.799165,0.799166,0.799165
17,0.799109,0.79911,0.799109
18,0.799083,0.799083,0.799083
19,0.798997,0.798997,0.798997
20,0.798946,0.798946,0.798946
21,0.798863,0.798863,0.798863
22,0.798803,0.798803,0.798803
23,0.798751,0.798752,0.798752
24,0.798685,0.798685,0.798685
25,0.798637,0.798638,0.798637
26,0.798549,0.79855,0.798549
27,0.798504,0.798504,0.798504
28,0.798416,0.798416,0.798416
29,0.798368,0.798368,0.798368
30,0.798289,0.79829,0.798289
31,0.798242,0.798242,0.798242
32,0.798178,0.798178,0.798178
33,0.798121,0.798122,0.798121
34,0.798093,0.798094,0.798093
35,0.798021,0.798021,0.798021
36,0.797964,0.797965,0.797964
37,0.797914,0.797914,0.797914
38,0.797869,0.79787,0.797869
39,0.797779,0.79778,0.797779
40,0.797743,0.797744,0.797743
41,0.797699,0.7977,0.797699
42,0.797631,0.797631,0.797631
43,0.797594,0.797594,0.797594
44,0.79755,0.797551,0.79755
45,0.797485,0.797485,0.797484
46,0.79743,0.79743,0.797429
47,0.797351,0.797351,0.79735
48,0.797284,0.797284,0.797284
49,0.797206,0.797206,0.797206
50,0.797184,0.797184,0.797184
51,0.797118,0.797118,0.797117
52,0.797062,0.797062,0.797062
53,0.797003,0.797003,0.797002
54,0.79693,0.79693,0.79693
55,0.796846,0.796847,0.796846
56,0.796762,0.796763,0.796762
57,0.796741,0.796741,0.796741
58,0.796682,0.796682,0.796682
59,0.796654,0.796654,0.796654
60,0.796575,0.796576,0.796575
61,0.796485,0.796486,0.796485
62,0.796442,0.796443,0.796442
63,0.796355,0.796355,0.796355
64,0.796268,0.796268,0.796268
65,0.796228,0.796228,0.796227
66,0.796177,0.796178,0.796177
67,0.796112,0.796113,0.796112
68,0.796035,0.796035,0.796035
69,0.795988,0.795988,0.795988
70,0.795923,0.795924,0.795923
71,0.795876,0.795876,0.795876
72,0.795788,0.795789,0.795788
73,0.795731,0.795731,0.795731
74,0.795654,0.795654,0.795654
75,0.795615,0.795615,0.795615
76,0.795582,0.795582,0.795582
77,0.795523,0.795523,0.795523
78,0.795447,0.795448,0.795447
79,0.795379,0.79538,0.795379
80,0.795331,0.795331,0.795331
81,0.795277,0.795277,0.795277
82,0.795233,0.795233,0.795233
83,0.795191,0.795191,0.795191
84,0.79514,0.79514,0.79514
85,0.795121,0.795121,0.795121
86,0.795062,0.795062,0.795062
87,0.795033,0.795033,0.795033
88,0.794945,0.794946,0.794946
89,0.794885,0.794885,0.794885
90,0.79485,0.79485,0.79485
91,0.794805,0.794805,0.794805
92,0.794717,0.794717,0.794717
93,0.794641,0.794641,0.794641
94,0.79456,0.79456,0.794559
95,0.794482,0.794483,0.794482
96,0.794407,0.794407,0.794407
97,0.794362,0.794362,0.794361
98,0.7943,0.7943,0.794299
99,0.794246,0.794246,0.794246
100,0.794222,0.794223,0.794222
101,0.794203,0.794203,0.794202
102,0.794164,0.794165,0.794164
103,0.794141,0.794141,0.794141
104,0.794105,0.794105,0.794105
105,0.794048,0.794048,0.794047
106,0.794018,0.794019,0.794018
107,0.793985,0.793985,0.793985
108,0.793901,0.793902,0.793901
109,0.793813,0.793813,0.793813
110,0.793722,0.793722,0.793722
111,0.793693,0.793693,0.793693
112,0.79361,0.79361,0.79361
113,0.793554,0.793554,0.793554
114,0.793513,0.793513,0.793513
115,0.793455,0.793456,0.793455
116,0.793414,0.793414,0.793414
117,0.793335,0.793335,0.793335
118,0.793245,0.793245,0.793244
119,0.793162,0.793163,0.793162
120,0.793137,0.793138,0.793137
121,0.7931,0.7931,0.7931
122,0.793022,0.793022,0.793021
123,0.792989,0.792989,0.792988
124,0.792935,0.792936,0.792935
125,0.792863,0.792864,0.792863
126,0.792814,0.792814,0.792813
127,0.792779,0.792779,0.792778
128,0.792697,0.792698,0.792697
129,0.792664,0.792664,0.792663
130,0.792637,0.792637,0.792636
131,0.792606,0.792606,0.792605
132,0.792581,0.792581,0.79258
133,0.792496,0.792497,0.792496
134,0.792472,0.792472,0.792472
135,0.792444,0.792444,0.792443
136,0.792357,0.792357,0.792357
137,0.792284,0.792285,0.792284
138,0.792232,0.792233,0.792232
139,0.792211,0.792211,0.79221
140,0.79213,0.79213,0.79213
141,0.792096,0.792096,0.792095
142,0.792017,0.792017,0.792017
143,0.791949,0.791949,0.791948
144,0.791856,0.791857,0.791856
145,0.791785,0.791785,0.791784
146,0.791763,0.791763,0.791763
147,0.791682,0.791682,0.791682
148,0.791601,0.791601,0.791601
149,0.791537,0.791537,0.791537
150,0.791486,0.791487,0.791486
151,0.791457,0.791458,0.791457
152,0.791421,0.791421,0.79142
153,0.791363,0.791363,0.791363
154,0.791312,0.791313,0.791312
155,0.791255,0.791255,0.791255
156,0.791169,0.791169,0.791169
157,0.791143,0.791143,0.791143
158,0.791123,0.791123,0.791123
159,0.791098,0.791099,0.791098
160,0.791012,0.791013,0.791012
161,0.790936,0.790936,0.790936
162,0.790908,0.790909,0.790908
163,0.790883,0.790883,0.790883
164,0.79084,0.79084,0.79084
165,0.790784,0.790785,0.790784
166,0.790753,0.790753,0.790752
167,0.790701,0.790702,0.790701
168,0.790663,0.790663,0.790662
169,0.790598,0.790599,0.790598
170,0.790523,0.790523,0.790523
171,0.790498,0.790498,0.790497
172,0.790431,0.790431,0.790431
173,0.790355,0.790355,0.790354
174,0.790309,0.790309,0.790309
175,0.79029,0.790291,0.79029
176,0.79026,0.79026,0.79026
177,0.790227,0.790227,0.790227
178,0.790173,0.790174,0.790173
179,0.790087,0.790087,0.790086
180,0.790019,0.79002,0.790019
181,0.789981,0.789981,0.789981
182,0.789889,0.78989,0.789889
183,0.789832,0.789832,0.789832
184,0.789761,0.789762,0.789761
185,0.789719,0.78972,0.789719
186,0.789632,0.789632,0.789631
187,0.789606,0.789606,0.789605
188,0.789552,0.789552,0.789552
189,0.789509,0.789509,0.789508
190,0.789479,0.789479,0.789479
191,0.789429,0.789429,0.789428
192,0.789347,0.789347,0.789346
193,0.789324,0.789324,0.789323
194,0.789231,0.789232,0.789231
195,0.789197,0.789197,0.789196
196,0.789151,0.789152,0.789151
197,0.78906,0.78906,0.78906
198,0.789028,0.789028,0.789028
199,0.788999,0.788999,0.788999
200,0.788947,0.788947,0.788947
201,0.788915,0.788915,0.788915
202,0.788852,0.788853,0.788852
203,0.788815,0.788816,0.788815
204,0.788737,0.788737,0.788737
205,0.788665,0.788666,0.788665
206,0.788636,0.788636,0.788635
207,0.788615,0.788616,0.788615
208,0.788594,0.788594,0.788594
209,0.788525,0.788526,0.788525
210,0.788455,0.788456,0.788455
211,0.788396,0.788397,0.788396
212,0.788306,0.788306,0.788306
213,0.788253,0.788253,0.788253
214,0.788219,0.78822,0.788219
215,0.788193,0.788194,0.788193
216,0.788117,0.788117,0.788117
217,0.788097,0.788098,0.788097
218,0.788023,0.788023,0.788023
219,0.787995,0.787996,0.787995
220,0.787975,0.787975,0.787975
221,0.787956,0.787956,0.787956
222,0.787889,0.787889,0.787889
223,0.787798,0.787799,0.787798
224,0.787763,0.787763,0.787763
225,0.787744,0.787744,0.787744
226,0.787691,0.787691,0.787691
227,0.787626,0.787627,0.787626
228,0.787539,0.78754,0.787539
229,0.787505,0.787505,0.787505
230,0.787482,0.787482,0.787482
231,0.787455,0.787455,0.787455
232,0.787423,0.787424,0.787423
233,0.787341,0.787342,0.787341
234,0.787294,0.787294,0.787293
235,0.787207,0.787208,0.787207
236,0.787131,0.787131,0.787131
237,0.787082,0.787083,0.787082
238,0.787013,0.787013,0.787013
239,0.786955,0.786955,0.786955
240,0.786904,0.786904,0.786904
241,0.786821,0.786822,0.786821
242,0.786779,0.786779,0.786779
243,0.786755,0.786755,0.786754
244,0.78672,0.786721,0.78672
245,0.786688,0.786688,0.786688
246,0.786653,0.786654,0.786653
247,0.786623,0.786623,0.786623
248,0.786589,0.786589,0.786589
249,0.786563,0.786563,0.786563
250,0.78653,0.78653,0.78653
251,0.786483,0.786483,0.786483
252,0.786445,0.786445,0.786445
253,0.786359,0.786359,0.786359
254,0.786305,0.786305,0.786305
255,0.786214,0.786214,0.786214
256,0.786122,0.786122,0.786122
257,0.786043,0.786044,0.786043
258,0.785988,0.785989,0.785988
259,0.785901,0.785902,0.785901
260,0.78585,0.78585,0.78585
261,0.78583,0.78583,0.78583
262,0.785778,0.785778,0.785777
263,0.78571,0.78571,0.78571
264,0.785647,0.785647,0.785647
265,0.785576,0.785576,0.785576
266,0.785541,0.785542,0.785541
267,0.785501,0.785502,0.785501
268,0.785444,0.785444,0.785444
269,0.785372,0.785372,0.785372
270,0.785288,0.785289,0.785288
271,0.78523,0.785231,0.78523
272,0.785143,0.785143,0.785143
273,0.785105,0.785106,0.785105
274,0.785078,0.785079,0.785078
275,0.785046,0.785046,0.785046
276,0.785027,0.785028,0.785027
277,0.784949,0.784949,0.784948
278,0.784916,0.784917,0.784916
279,0.784854,0.784854,0.784853
280,0.78482,0.78482,0.784819
281,0.784796,0.784796,0.784796
282,0.784719,0.78472,0.784719
283,0.784684,0.784684,0.784684
284,0.784623,0.784624,0.784623
285,0.784567,0.784568,0.784567
286,0.784486,0.784486,0.784486
287,0.784403,0.784404,0.784403
288,0.784339,0.784339,0.784338
289,0.784264,0.784265,0.784264
290,0.784176,0.784176,0.784176
291,0.784151,0.784151,0.78415
292,0.784092,0.784092,0.784092
293,0.78403,0.78403,0.78403
294,0.784011,0.784011,0.784011
295,0.783964,0.783964,0.783964
