time,soc_true,soc_kf,soc_fgo
0,0.799943,0.799943,0.799943
1,0.799886,0.79988,0.799827
2,0.799849,0.799818,0.799705
3,0.799812,0.799776,0.799602
4,0.799769,0.799736,0.799495
5,0.799745,0.799689,0.799379
6,0.799717,0.799662,0.799282
7,0.799697,0.799631,0.79918
8,0.799605,0.79961,0.799086
9,0.799561,0.799509,0.798904
10,0.799523,0.79946,0.798772
11,0.799493,0.799418,0.798645
12,0.79945,0.799385,0.798526
13,0.799358,0.799338,0.798392
14,0.799287,0.799236,0.798196
15,0.799239,0.799159,0.79802
16,0.799165,0.799106,0.797867
17,0.799109,0.799025,0.797682
18,0.799083,0.798963,0.797515
19,0.798997,0.798934,0.797384
20,0.798946,0.798839,0.797181
21,0.798863,0.798783,0.797017
22,0.798803,0.798692,0.796815
23,0.798751,0.798626,0.796637
24,0.798685,0.79857,0.796469
25,0.798637,0.798496,0.796284
26,0.798549,0.798444,0.796121
27,0.798504,0.798347,0.79591
28,0.798416,0.798297,0.795748
29,0.798368,0.798201,0.795536
30,0.798289,0.798148,0.795371
31,0.798242,0.798061,0.79517
32,0.798178,0.798009,0.795007
33,0.798121,0.797939,0.794826
34,0.798093,0.797876,0.794654
35,0.798021,0.797846,0.79452
36,0.797964,0.797766,0.794336
37,0.797914,0.797704,0.79417
38,0.797869,0.797648,0.794014
39,0.797779,0.797599,0.793867
40,0.797743,0.7975,0.793668
41,0.797699,0.797461,0.793533
42,0.797631,0.797412,0.793391
43,0.797594,0.797337,0.793223
44,0.79755,0.797296,0.793093
45,0.797485,0.797248,0.792959
46,0.79743,0.797176,0.792801
47,0.797351,0.797116,0.792656
48,0.797284,0.797029,0.792483
49,0.797206,0.796955,0.792324
50,0.797184,0.79687,0.792152
51,0.797118,0.796845,0.792047
52,0.797062,0.796772,0.791894
53,0.797003,0.796711,0.791754
54,0.79693,0.796646,0.791612
55,0.796846,0.796566,0.791454
56,0.796762,0.796474,0.791283
57,0.796741,0.796381,0.79111
58,0.796682,0.796358,0.791012
59,0.796654,0.796293,0.790875
60,0.796575,0.796262,0.790777
61,0.796485,0.796176,0.790623
62,0.796442,0.796077,0.790453
63,0.796355,0.796029,0.790338
64,0.796268,0.795933,0.790173
65,0.796228,0.795838,0.790007
66,0.796177,0.795793,0.789896
67,0.796112,0.795738,0.789778
68,0.796035,0.795667,0.789645
69,0.795988,0.795581,0.789496
70,0.795923,0.79553,0.789386
71,0.795876,0.795459,0.789257
72,0.795788,0.795406,0.78915
73,0.795731,0.79531,0.788997
74,0.795654,0.795247,0.788879
75,0.795615,0.795162,0.788739
76,0.795582,0.79512,0.788646
77,0.795523,0.795083,0.788564
78,0.795447,0.795018,0.788455
79,0.795379,0.794935,0.788327
80,0.795331,0.79486,0.788208
81,0.795277,0.794807,0.788114
82,0.795233,0.794747,0.788014
83,0.795191,0.794699,0.78793
84,0.79514,0.794653,0.787852
85,0.795121,0.794597,0.787764
86,0.795062,0.794576,0.787719
87,0.795033,0.794511,0.787629
88,0.794945,0.794479,0.787576
89,0.794885,0.794383,0.787456
90,0.79485,0.794316,0.787365
91,0.794805,0.794278,0.787306
92,0.794717,0.794228,0.787238
93,0.794641,0.794132,0.787118
94,0.79456,0.794048,0.787011
95,0.794482,0.793958,0.786895
96,0.794407,0.793874,0.786782
97,0.794362,0.79379,0.78667
98,0.7943,0.793741,0.786595
99,0.794246,0.793672,0.786502
100,0.794222,0.793613,0.78642
101,0.794203,0.793588,0.786377
102,0.794164,0.793566,0.786343
103,0.794141,0.793524,0.786292
104,0.794105,0.793498,0.786261
105,0.794048,0.793458,0.78622
106,0.794018,0.793395,0.786154
107,0.793985,0.793363,0.786121
108,0.793901,0.793327,0.786087
109,0.793813,0.793235,0.785993
110,0.793722,0.793137,0.785889
111,0.793693,0.793037,0.785778
112,0.79361,0.793005,0.785739
113,0.793554,0.792914,0.785637
114,0.793513,0.792852,0.785565
115,0.793455,0.792807,0.785513
116,0.793414,0.792744,0.785442
117,0.793335,0.792698,0.785391
118,0.793245,0.792612,0.785296
119,0.793162,0.792512,0.785184
120,0.793137,0.792421,0.785079
121,0.7931,0.792394,0.785042
122,0.793022,0.792353,0.784994
123,0.792989,0.792267,0.7849
124,0.792935,0.792231,0.784858
125,0.792863,0.792172,0.784795
126,0.792814,0.792093,0.784709
127,0.792779,0.792038,0.78465
128,0.792697,0.792,0.78461
129,0.792664,0.79191,0.784516
130,0.792637,0.791873,0.784478
131,0.792606,0.791843,0.784451
132,0.792581,0.791809,0.784423
133,0.792496,0.791782,0.784404
134,0.792472,0.791689,0.784317
135,0.792444,0.791662,0.784299
136,0.792357,0.791631,0.784279
137,0.792284,0.791536,0.78419
138,0.792232,0.791456,0.784113
139,0.792211,0.791398,0.78406
140,0.79213,0.791375,0.784044
141,0.792096,0.791286,0.78396
142,0.792017,0.791248,0.783928
143,0.791949,0.791162,0.783845
144,0.791856,0.791087,0.783771
145,0.791785,0.790985,0.783666
146,0.791763,0.790906,0.783582
147,0.791682,0.790882,0.783558
148,0.791601,0.790793,0.783465
149,0.791537,0.790704,0.783371
150,0.791486,0.790634,0.783294
151,0.791457,0.790578,0.783234
152,0.791421,0.790546,0.783202
153,0.791363,0.790506,0.783164
154,0.791312,0.790442,0.783103
155,0.791255,0.790387,0.783051
156,0.791169,0.790323,0.782991
157,0.791143,0.790229,0.782896
158,0.791123,0.7902,0.782871
159,0.791098,0.790178,0.782858
160,0.791012,0.790151,0.782844
161,0.790936,0.790056,0.782757
162,0.790908,0.789973,0.782678
163,0.790883,0.789942,0.782657
164,0.79084,0.789914,0.782641
165,0.790784,0.789867,0.782607
166,0.790753,0.789806,0.782559
167,0.790701,0.789771,0.782539
168,0.790663,0.789715,0.782498
169,0.790598,0.789672,0.782472
170,0.790523,0.789601,0.782415
171,0.790498,0.789518,0.782343
172,0.790431,0.78949,0.782329
173,0.790355,0.789417,0.782267
174,0.790309,0.789333,0.782191
175,0.79029,0.789283,0.782151
176,0.79026,0.789262,0.782144
177,0.790227,0.789229,0.782126
178,0.790173,0.789193,0.782107
179,0.790087,0.789134,0.782065
180,0.790019,0.789038,0.781981
181,0.789981,0.788964,0.781916
182,0.789889,0.788922,0.781884
183,0.789832,0.788821,0.781789
184,0.789761,0.788758,0.78173
185,0.789719,0.788681,0.781655
186,0.789632,0.788634,0.781614
187,0.789606,0.788538,0.781517
188,0.789552,0.788509,0.781493
189,0.789509,0.78845,0.781439
190,0.789479,0.788402,0.781397
191,0.789429,0.78837,0.781374
192,0.789347,0.788314,0.781328
193,0.789324,0.788224,0.781244
194,0.789231,0.788199,0.781228
195,0.789197,0.788098,0.781131
196,0.789151,0.788059,0.781099
197,0.78906,0.78801,0.781058
198,0.789028,0.787909,0.780961
199,0.788999,0.787874,0.780932
200,0.788947,0.787842,0.78091
201,0.788915,0.787785,0.780862
202,0.788852,0.78775,0.78084
203,0.788815,0.78768,0.780781
204,0.788737,0.78764,0.780753
205,0.788665,0.787554,0.780676
206,0.788636,0.787475,0.780604
207,0.788615,0.787442,0.780581
208,0.788594,0.78742,0.780572
209,0.788525,0.787396,0.780566
210,0.788455,0.787321,0.780505
211,0.788396,0.787244,0.78044
212,0.788306,0.787179,0.780385
213,0.788253,0.78708,0.780291
214,0.788219,0.787021,0.780238
215,0.788193,0.786984,0.78021
216,0.788117,0.786956,0.780193
217,0.788097,0.786872,0.780117
218,0.788023,0.78685,0.780109
219,0.787995,0.786768,0.780036
220,0.787975,0.786738,0.780019
221,0.787956,0.786715,0.780013
222,0.787889,0.786695,0.780012
223,0.787798,0.78662,0.779955
224,0.787763,0.786521,0.779867
225,0.787744,0.786482,0.77984
226,0.787691,0.786461,0.779836
227,0.787626,0.786403,0.779794
228,0.787539,0.786332,0.779736
229,0.787505,0.786236,0.779649
230,0.787482,0.786198,0.779621
231,0.787455,0.786173,0.779609
232,0.787423,0.786143,0.779596
233,0.787341,0.786108,0.77958
234,0.787294,0.786018,0.779502
235,0.787207,0.785966,0.779463
236,0.787131,0.785871,0.779375
237,0.787082,0.785787,0.779295
238,0.787013,0.785733,0.779246
239,0.786955,0.785657,0.779173
240,0.786904,0.785594,0.779111
241,0.786821,0.785537,0.779057
242,0.786779,0.785446,0.778965
243,0.786755,0.7854,0.778919
244,0.78672,0.785373,0.778897
245,0.786688,0.785335,0.778867
246,0.786653,0.7853,0.778841
247,0.786623,0.785262,0.778814
248,0.786589,0.785228,0.778795
249,0.786563,0.785191,0.778773
250,0.78653,0.785162,0.778762
251,0.786483,0.785126,0.778744
252,0.786445,0.785074,0.77871
253,0.786359,0.785032,0.778687
254,0.786305,0.784938,0.778604
255,0.786214,0.784878,0.778556
256,0.786122,0.784778,0.77846
257,0.786043,0.784677,0.778359
258,0.785988,0.784591,0.778269
259,0.785901,0.78453,0.778204
260,0.78585,0.784434,0.7781
261,0.78583,0.784378,0.778037
262,0.785778,0.784356,0.778013
263,0.78571,0.784298,0.777954
264,0.785647,0.784224,0.777876
265,0.785576,0.784154,0.777802
266,0.785541,0.784076,0.777718
267,0.785501,0.784039,0.777678
268,0.785444,0.783994,0.777633
269,0.785372,0.783931,0.777569
270,0.785288,0.783852,0.777486
271,0.78523,0.78376,0.777387
272,0.785143,0.783696,0.777317
273,0.785105,0.7836,0.777211
274,0.785078,0.783559,0.777163
275,0.785046,0.783529,0.77713
276,0.785027,0.783494,0.777096
277,0.784949,0.783473,0.777081
278,0.784916,0.783387,0.776997
279,0.784854,0.783351,0.776966
280,0.78482,0.783282,0.776901
281,0.784796,0.783245,0.77687
282,0.784719,0.783219,0.776854
283,0.784684,0.783134,0.776776
284,0.784623,0.783095,0.776745
285,0.784567,0.783029,0.776685
286,0.784486,0.782967,0.776629
287,0.784403,0.782878,0.776542
288,0.784339,0.782787,0.776449
289,0.784264,0.782716,0.776375
290,0.784176,0.782634,0.776288
291,0.784151,0.782537,0.776182
292,0.784092,0.782509,0.77615
293,0.78403,0.782444,0.776081
294,0.784011,0.782376,0.776009
295,0.783964,0.782355,0.775989
296,0.783887,0.782303,0.77594
297,0.783857,0.782218,0.775854
298,0.783809,0.782185,0.775824
299,0.783764,0.782132,0.775774
300,0.783686,0.782083,0.77573
301,0.783628,0.781997,0.775646
302,0.783569,0.781933,0.775583
303,0.783516,0.781869,0.77552
304,0.783427,0.78181,0.775463
305,0.783384,0.781713,0.775362
306,0.783306,0.781666,0.775314
307,0.783256,0.781579,0.775225
308,0.783222,0.781524,0.775168
309,0.783177,0.781488,0.775133
310,0.783112,0.781438,0.775086
311,0.783042,0.781366,0.775016
312,0.782999,0.78129,0.774939
313,0.782974,0.781242,0.774893
314,0.78293,0.781215,0.774873
315,0.782908,0.781166,0.774832
316,0.782884,0.781141,0.774819
317,0.782801,0.781115,0.774808
318,0.782731,0.781024,0.774727
319,0.782649,0.780947,0.774657
320,0.782623,0.780857,0.774571
