time,current,voltage,soc_true
0,0.6289039657758941,3.720858016019385,0.799943
1,0.6073243688862064,3.92210752347898,0.799886
2,0.41356364801475687,4.008723624932602,0.799849
3,0.41610759535923064,4.168548531392246,0.799812
4,0.45543710341908306,4.094984434050463,0.799769
5,0.2608210054619796,4.152742306347169,0.799745
6,0.3192476536196908,3.7976617461694384,0.799717
7,0.21468547742954966,3.832589028836381,0.799697
8,0.9807968937523046,4.0206975940072915,0.799605
9,0.48311664952879557,4.025136951978621,0.799561
10,0.4079386620398124,4.077441348502728,0.799523
11,0.32160292750726577,3.9725940965939737,0.799493
12,0.46678692645327835,4.139080763570684,0.79945
13,0.9375511333267924,3.9314595472199136,0.799358
14,0.7218581372524486,3.8169339399573663,0.799287
15,0.5107436307763984,4.119055719980572,0.799239
16,0.7733814604087665,3.8920464438399307,0.799165
17,0.6110871715061957,3.99795500792512,0.799109
18,0.2751177244473882,3.9327286702739612,0.799083
19,0.8926058363377833,3.8502454184613346,0.798997
20,0.5769591194895025,3.885213867080078,0.798946
21,0.8863694220573283,4.0337165354687095,0.798863
22,0.6473046885034675,3.9391796196677915,0.798803
23,0.5334403875149663,4.180341775734317,0.798751
24,0.7102322782312229,4.043437535093847,0.798685
25,0.5123051321952419,3.8860221696088675,0.798637
26,0.916165560877685,4.091065030695002,0.798549
27,0.49808228762021434,3.7076053138876266,0.798504
28,0.9313607090172347,4.385470884370002,0.798416
29,0.5157013547968514,3.8925505117013555,0.798368
30,0.8345956005624491,3.841650122367812,0.798289
31,0.5374658456328836,3.948460966409975,0.798242
32,0.6929522983520974,3.913871242055746,0.798178
33,0.5919433065581072,4.1075484790479715,0.798121
34,0.3091827670242984,3.887706465607164,0.798093
35,0.7520064299062166,3.92690657135367,0.798021
36,0.6179368250857862,3.612070845817359,0.797964
37,0.5114948708759485,4.0603069078576235,0.797914
38,0.46291540918966384,3.9969237571515674,0.797869
39,0.9776469243950955,4.04643932801582,0.797779
40,0.39508091876699997,4.066879841628817,0.797743
41,0.47783500815689545,3.957550378078727,0.797699
42,0.7371087357017343,4.070264942995633,0.797631
43,0.396502698778957,4.192675461182867,0.797594
44,0.4492159124622783,4.212837039015753,0.79755
45,0.6945029463760031,3.901026710489147,0.797485
