time,current,voltage,soc_true
187,0.279685,4.14958,0.789606
188,0.579682,4.00697,0.789552
189,0.46968,4.16452,0.789509
190,0.318374,4.12536,0.789479
191,0.545416,3.87424,0.789429
192,0.88348,3.95779,0.789347
193,0.24873,4.06288,0.789324
194,0.99745,3.98425,0.789231
195,0.376645,4.02083,0.789197
196,0.487738,3.98229,0.789151
197,0.988486,3.9226,0.78906
198,0.34354,3.98066,0.789028
199,0.314762,3.91851,0.788999
200,0.562183,3.89242,0.788947
201,0.342821,3.93611,0.788915
202,0.678666,3.85491,0.788852
203,0.399257,3.99513,0.788815
204,0.845461,3.97441,0.788737
205,0.77478,4.07375,0.788665
206,0.320561,4.03604,0.788636
207,0.217772,3.90469,0.788615
208,0.232707,3.95035,0.788594
209,0.739872,3.89841,0.788525
210,0.755457,3.87263,0.788455
211,0.637329,4.07156,0.788396
212,0.976699,3.88929,0.788306
213,0.572541,3.97439,0.788253
214,0.363616,4.09957,0.788219
215,0.281371,4.13161,0.788193
216,0.823736,3.90639,0.788117
217,0.212863,4.12909,0.788097
218,0.804486,4.18722,0.788023
219,0.296183,3.95634,0.787995
220,0.223154,3.9389,0.787975
221,0.201495,3.86644,0.787956
222,0.728744,3.94124,0.787889
223,0.975235,4.0319,0.787798
224,0.385104,4.0612,0.787763
225,0.205697,3.94343,0.787744
226,0.57184,4.16934,0.787691
227,0.69603,4.17231,0.787626
228,0.939191,3.91574,0.787539
229,0.372478,4.01413,0.787505
230,0.249898,3.88611,0.787482
231,0.289501,3.95219,0.787455
232,0.340952,4.05757,0.787423
233,0.884382,3.85345,0.787341
234,0.515793,3.98027,0.787294
235,0.930771,3.91334,0.787207
236,0.823893,4.16061,0.787131
237,0.527714,4.01739,0.787082
238,0.747423,3.97355,0.787013
239,0.626119,4.03123,0.786955
240,0.55408,3.9067,0.786904
241,0.891146,3.9544,0.786821
242,0.457842,3.99197,0.786779
243,0.262286,3.93784,0.786755
244,0.369982,4.04478,0.78672
245,0.347728,3.99198,0.786688
246,0.375329,3.9228,0.786653
247,0.328506,4.2084,0.786623
248,0.365264,4.17221,0.786589
249,0.28208,3.85848,0.786563
250,0.357411,3.94595,0.78653
251,0.507874,3.88007,0.786483
252,0.41061,4.01147,0.786445
253,0.930546,3.90401,0.786359
254,0.579602,3.94345,0.786305
255,0.98757,3.89065,0.786214
256,0.989087,4.0532,0.786122
257,0.848187,3.91249,0.786043
258,0.595527,4.06309,0.785988
259,0.940114,3.73618,0.785901
260,0.554872,4.14309,0.78585
261,0.215546,4.05152,0.78583
262,0.565168,3.88054,0.785778
263,0.731675,3.89539,0.78571
264,0.682385,4.06639,0.785647
265,0.76514,3.84151,0.785576
266,0.370812,4.08393,0.785541
267,0.434641,3.8486,0.785501
268,0.617635,4.06749,0.785444
269,0.780587,3.94535,0.785372
270,0.902346,3.99672,0.785288
271,0.624816,3.95752,0.78523
272,0.943626,3.85733,0.785143
273,0.405221,4.02784,0.785105
274,0.293455,4.06907,0.785078
275,0.348274,3.98954,0.785046
276,0.204099,4.05504,0.785027
277,0.84655,4.13556,0.784949
278,0.348983,3.92075,0.784916
279,0.678131,4.00917,0.784854
280,0.366572,4.03593,0.78482
281,0.255209,4.19078,0.784796
282,0.827244,3.91988,0.784719
283,0.383125,4.08239,0.784684
284,0.653494,4.11904,0.784623
285,0.608509,3.92203,0.784567
286,0.877002,4.02543,0.784486
287,0.89224,3.89304,0.784403
288,0.698216,4.07807,0.784339
289,0.802999,4.06302,0.784264
290,0.95491,3.92043,0.784176
291,0.272929,3.91616,0.784151
292,0.635587,3.94833,0.784092
293,0.666736,3.89699,0.78403
294,0.209252,4.21067,0.784011
295,0.503256,4.05809,0.783964
296,0.836866,3.91112,0.783887
297,0.321868,3.88139,0.783857
298,0.520533,4.00242,0.783809
299,0.486415,4.00653,0.783764
300,0.838904,4.23138,0.783686
301,0.629467,3.8933,0.783628
302,0.627931,3.99528,0.783569
