time,current,voltage,soc_true
164,0.46366,4.01119,0.79084
165,0.601265,4.00423,0.790784
166,0.341469,4.0173,0.790753
167,0.552487,4.0067,0.790701
168,0.419057,4.01341,0.790663
169,0.695338,3.99946,0.790598
170,0.811485,3.99345,0.790523
171,0.275201,4.02038,0.790498
172,0.720479,3.99797,0.790431
173,0.82391,3.99259,0.790355
174,0.490888,4.00924,0.790309
175,0.20168,4.02386,0.79029
176,0.331112,4.01747,0.79026
177,0.355484,4.01631,0.790227
178,0.57777,4.00513,0.790173
179,0.938088,3.98683,0.790087
180,0.725849,3.99729,0.790019
181,0.414847,4.01288,0.789981
182,0.988439,3.98389,0.789889
183,0.620787,4.00219,0.789832
184,0.761272,3.995,0.789761
185,0.455167,4.01032,0.789719
186,0.946412,3.98548,0.789632
187,0.279685,4.01894,0.789606
188,0.579682,4.00388,0.789552
189,0.46968,4.00939,0.789509
190,0.318374,4.01705,0.789479
191,0.545416,4.00566,0.789429
192,0.88348,3.98851,0.789347
193,0.24873,4.02039,0.789324
194,0.99745,3.98264,0.789231
195,0.376645,4.01374,0.789197
196,0.487738,4.00818,0.789151
197,0.988486,3.98284,0.78906
198,0.34354,4.01517,0.789028
199,0.314762,4.01671,0.788999
200,0.562183,4.00429,0.788947
201,0.342821,4.01533,0.788915
202,0.678666,3.99842,0.788852
203,0.399257,4.01243,0.788815
204,0.845461,3.9899,0.788737
205,0.77478,3.99326,0.788665
206,0.320561,4.01606,0.788636
207,0.217772,4.02135,0.788615
208,0.232707,4.02074,0.788594
209,0.739872,3.99522,0.788525
210,0.755457,3.99427,0.788455
211,0.637329,4.00007,0.788396
212,0.976699,3.98281,0.788306
213,0.572541,4.00296,0.788253
214,0.363616,4.01347,0.788219
215,0.281371,4.0177,0.788193
216,0.823736,3.99037,0.788117
217,0.212863,4.02107,0.788097
218,0.804486,3.99129,0.788023
219,0.296183,4.0168,0.787995
220,0.223154,4.0206,0.787975
221,0.201495,4.02183,0.787956
222,0.728744,3.99531,0.787889
